disziplin;turnier_id;teilnehmer;teilnehmer_fuer_staerke;teilnehmer_offiziell_gerankt;avg_elo;name;jahr;kw;bec17type;datum;rang
GS;3;22;16;12;36.8;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;46
XD;34;76;16;16;393.5;MALOW YONEX Polish U17 International 2026;2026;11;U17 GP;2026-03-13;1
XD;38;86;16;16;366.2;OLIVER Czech U17 International 2026;2026;13;U17 IC;2026-03-26;2
XD;48;84;16;16;362.3;2. LIVING SPORT Hungarian International U17 2026 powered by VICTOR;2026;9;U17 IS;2026-02-27;3
XD;32;76;16;16;358.6;Austrian U17 Open 2026;2026;18;U17 GP;2026-05-01;4
XD;37;86;16;16;336.7;YONEX Bozner Cup U17 International 2026;2026;17;U17 IC;2026-04-24;5
XD;13;82;16;16;290.2;31. TEM MIRNA U17 International 2025;2025;35;U17 IS;2025-08-29;6
XD;31;84;16;16;290.2;Adria U17 International 2026;2026;20;U17 GP;2026-05-15;6
XD;30;74;16;16;288.9;Serbian U17 International - Novi Sad 2026;2026;25;U17 GP;2026-06-19;7
XD;9;96;16;16;288.6;Austrian U17 International 2025;2025;40;U17 GP;2025-10-03;8
XD;10;96;16;16;281.4;Slovak Youth U17 International 2025;2025;39;U17 IS;2025-09-26;9
XD;23;96;16;16;274.2;YONEX Bozner Cup U17 International 2025;2025;17;U17 IC;2025-04-25;10
XD;7;96;16;16;272.4;Luxembourg U17 2025;2025;43;U17 IS;2025-10-24;11
XD;36;96;16;16;272.4;YONEX German U17 Open 2026;2026;23;U17 IC;2026-06-05;11
XD;33;68;16;16;264.3;VICTOR JOT U17 2026;2026;14;U17 GP;2026-04-03;12
XD;11;96;16;16;260.2;9th LI-NING Zagreb U17 Open 2025;2025;38;U17 IS;2025-09-19;13
XD;22;96;16;16;256.9;Austrian U17 Open 2025;2025;18;U17 GP;2025-05-02;14
XD;39;62;16;16;249.4;YONEX France U17 Open 2026;2026;8;U17 IC;2026-02-19;15
XD;40;72;16;16;248.2;Spanish Open U17 2026;2026;5;U17 IC;2026-01-29;16
XD;25;96;16;16;241.6;OLIVER Czech U17 International 2025;2025;14;U17 IC;2025-04-03;17
XD;41;66;16;16;225.9;32. TEM MIRNA U17 International 2026;2026;35;U17 IS;2026-08-28;18
XD;27;100;16;16;200.6;1. Living Sport Hungarian International 2025;2025;10;U17 IS;2025-03-07;19
XD;29;96;16;16;199.9;Spanish U17 Open 2025;2025;5;U17 IC;2025-01-31;20
XD;19;118;16;16;199.6;YONEX German U17 Open 2025;2025;24;U17 IC;2025-06-06;21
XD;46;36;16;16;186.2;Swedish U17 International 2026;2026;15;U17 IS;2026-04-10;22
XD;2;78;16;16;183.8;YONEX German Ruhr U17 International 2025;2025;51;U17 IC;2025-12-17;23
XD;35;36;16;16;182.8;HEBAR U17 Bulgaria Open 2026;2026;27;U17 IC;2026-07-02;24
XD;26;98;16;16;178.4;MALOW YONEX Polish U17 International 2025;2025;11;U17 GP;2025-03-13;25
XD;28;88;16;16;174.7;YONEX France U17 Open 2025;2025;7;U17 IC;2025-02-13;26
XD;20;74;16;16;173.7;YONEX Polish Masters U17 2025;2025;22;U17 IC;2025-05-30;27
XD;18;96;16;16;169.8;Serbian U17 International - NOVI SAD 2025;2025;25;U17 GP;2025-06-20;28
XD;12;50;16;16;165.0;RSL Sigulda U17 Open 2025;2025;37;U17 IS;2025-09-12;29
XD;24;96;16;16;160.8;VICTOR JOT U17 2025;2025;16;U17 GP;2025-04-18;30
XD;42;62;16;16;155.9;Danish Junior Cup U17 2026;2026;34;U17 IS;2026-08-21;31
XD;1;64;16;16;152.0;BADMINTONPLANET Youth Tournament presented by VICTOR 2025;2025;52;U17 IC;2025-12-28;32
XD;4;30;16;16;151.6;Spanish International U17 2025;2025;46;U17 IS;2025-11-14;33
XD;45;18;16;16;150.0;RSL Lithuanian U17 International 2026;2026;21;U17 IS;2026-05-22;34
XD;8;92;16;16;148.7;VICTOR DENMARK JUNIOR U17 2025;2025;42;U17 IS;2025-10-16;35
XD;15;72;16;16;146.8;VICTOR French U17 International 2025;2025;33;U17 IS;2025-08-15;36
XD;43;34;16;16;145.7;FZ FORZA French U17 International 2026;2026;33;U17 IS;2026-08-14;37
XD;21;58;16;16;127.5;Bulgaria U17 International 2025;2025;19;U17 IS;2025-05-08;38
XD;47;20;16;16;121.6;Bulgaria U17 International 2026;2026;15;U17 IS;2026-04-07;39
XD;14;70;16;16;84.2;Danish Junior Cup U17 2025;2025;34;U17 IS;2025-08-22;40
XD;5;42;16;13;78.1;Swedish Youth Games 2025;2025;46;U17 IC;2025-11-14;41
XD;44;36;16;16;77.5;Istanbul U17 Open 2026;2026;28;U17 IS;2026-07-10;42
XD;3;40;16;13;57.4;VICTOR Cyprus U17 International 2025;2025;50;U17 IS;2025-12-12;43
XD;6;54;16;15;51.3;V U17 Portugal Open 2025;2025;44;U17 IS;2025-10-31;44
